ubigeo,departamento,provincia,distrito,ubigeo_reniec,ubigeo_sunat
10101,Amazonas,Chachapoyas,Chachapoyas,10101,10101
10102,Amazonas,Chachapoyas,Asunción,10102,10102
10103,Amazonas,Chachapoyas,Balsas,10103,10103
10104,Amazonas,Chachapoyas,Cheto,10104,10104
10105,Amazonas,Chachapoyas,Chiliquin,10105,10105
10106,Amazonas,Chachapoyas,Chuquibamba,10106,10106
10107,Amazonas,Chachapoyas,Granada,10107,10107
10108,Amazonas,Chachapoyas,Huancas,10108,10108
10109,Amazonas,Chachapoyas,La Jalca,10109,10109
10110,Amazonas,Chachapoyas,Leimebamba,10110,10110
10111,Amazonas,Chachapoyas,Levanto,10111,10111
10112,Amazonas,Chachapoyas,Magdalena,10112,10112
10113,Amazonas,Chachapoyas,Mariscal Castilla,10113,10113
10114,Amazonas,Chachapoyas,Molinopampa,10114,10114
10115,Amazonas,Chachapoyas,Montevideo,10115,10115
10116,Amazonas,Chachapoyas,Olleros,10116,10116
10117,Amazonas,Chachapoyas,Quinjalca,10117,10117
10118,Amazonas,Chachapoyas,San Francisco de Daguas,10118,10118
10119,Amazonas,Chachapoyas,San Isidro de Maino,10119,10119
10120,Amazonas,Chachapoyas,Soloco,10120,10120
10121,Amazonas,Chachapoyas,Sonche,10121,10121
10201,Amazonas,Bagua,Bagua,10205,10201
10202,Amazonas,Bagua,Aramango,10202,10202
10203,Amazonas,Bagua,Copallin,10203,10203
10204,Amazonas,Bagua,El Parco,10204,10204
10205,Amazonas,Bagua,Imaza,10206,10205
10206,Amazonas,Bagua,La Peca,10201,10206
10301,Amazonas,Bongará,Jumbilla,10301,10301
10302,Amazonas,Bongará,Chisquilla,10304,10302
10303,Amazonas,Bongará,Churuja,10305,10303
10304,Amazonas,Bongará,Corosha,10302,10304
10305,Amazonas,Bongará,Cuispes,10303,10305
10306,Amazonas,Bongará,Florida,10306,10306
10307,Amazonas,Bongará,Jazan,10312,10307
10308,Amazonas,Bongará,Recta,10307,10308
10309,Amazonas,Bongará,San Carlos,10308,10309
10310,Amazonas,Bongará,Shipasbamba,10309,10310
10311,Amazonas,Bongará,Valera,10310,10311
10312,Amazonas,Bongará,Yambrasbamba,10311,10312
10401,Amazonas,Condorcanqui,Nieva,10601,10401
10402,Amazonas,Condorcanqui,El Cenepa,10603,10402
10403,Amazonas,Condorcanqui,Río Santiago,10602,10403
10501,Amazonas,Luya,Lamud,10401,10501
10502,Amazonas,Luya,Camporredondo,10402,10502
10503,Amazonas,Luya,Cocabamba,10403,10503
10504,Amazonas,Luya,Colcamar,10404,10504
10505,Amazonas,Luya,Conila,10405,10505
10506,Amazonas,Luya,Inguilpata,10406,10506
10507,Amazonas,Luya,Longuita,10407,10507
10508,Amazonas,Luya,Lonya Chico,10408,10508
10509,Amazonas,Luya,Luya,10409,10509
10510,Amazonas,Luya,Luya Viejo,10410,10510
10511,Amazonas,Luya,María,10411,10511
10512,Amazonas,Luya,Ocalli,10412,10512
10513,Amazonas,Luya,Ocumal,10413,10513
10514,Amazonas,Luya,Pisuquia,10414,10514
10515,Amazonas,Luya,Providencia,10423,10515
10516,Amazonas,Luya,San Cristóbal,10415,10516
10517,Amazonas,Luya,San Francisco de Yeso,10416,10517
10518,Amazonas,Luya,San Jerónimo,10417,10518
10519,Amazonas,Luya,San Juan de Lopecancha,10418,10519
10520,Amazonas,Luya,Santa Catalina,10419,10520
10521,Amazonas,Luya,Santo Tomas,10420,10521
10522,Amazonas,Luya,Tingo,10421,10522
10523,Amazonas,Luya,Trita,10422,10523
10601,Amazonas,Rodríguez de Mendoza,San Nicolás,10501,10601
10602,Amazonas,Rodríguez de Mendoza,Chirimoto,10503,10602
10603,Amazonas,Rodríguez de Mendoza,Cochamal,10502,10603
10604,Amazonas,Rodríguez de Mendoza,Huambo,10504,10604
10605,Amazonas,Rodríguez de Mendoza,Limabamba,10505,10605
10606,Amazonas,Rodríguez de Mendoza,Longar,10506,10606
10607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,10508,10607
10608,Amazonas,Rodríguez de Mendoza,Milpuc,10507,10608
10609,Amazonas,Rodríguez de Mendoza,Omia,10509,10609
10610,Amazonas,Rodríguez de Mendoza,Santa Rosa,10510,10610
10611,Amazonas,Rodríguez de Mendoza,Totora,10511,10611
10612,Amazonas,Rodríguez de Mendoza,Vista Alegre,10512,10612
10701,Amazonas,Utcubamba,Bagua Grande,10701,10701
10702,Amazonas,Utcubamba,Cajaruro,10702,10702
10703,Amazonas,Utcubamba,Cumba,10703,10703
10704,Amazonas,Utcubamba,El Milagro,10704,10704
10705,Amazonas,Utcubamba,Jamalca,10705,10705
10706,Amazonas,Utcubamba,Lonya Grande,10706,10706
10707,Amazonas,Utcubamba,Yamon,10707,10707
20101,Áncash,Huaraz,Huaraz,20101,20101
20102,Áncash,Huaraz,Cochabamba,20103,20102
20103,Áncash,Huaraz,Colcabamba,20104,20103
20104,Áncash,Huaraz,Huanchay,20105,20104
20105,Áncash,Huaraz,Independencia,20102,20105
20106,Áncash,Huaraz,Jangas,20106,20106
20107,Áncash,Huaraz,La Libertad,20107,20107
20108,Áncash,Huaraz,Olleros,20108,20108
20109,Áncash,Huaraz,Pampas Grande,20109,20109
20110,Áncash,Huaraz,Pariacoto,20110,20110
20111,Áncash,Huaraz,Pira,20111,20111
20112,Áncash,Huaraz,Tarica,20112,20112
20201,Áncash,Aija,Aija,20201,20201
20202,Áncash,Aija,Coris,20203,20202
20203,Áncash,Aija,Huacllan,20205,20203
20204,Áncash,Aija,La Merced,20206,20204
20205,Áncash,Aija,Succha,20208,20205
20301,Áncash,Antonio Raymondi,Llamellin,21601,20301
20302,Áncash,Antonio Raymondi,Aczo,21602,20302
20303,Áncash,Antonio Raymondi,Chaccho,21603,20303
20304,Áncash,Antonio Raymondi,Chingas,21604,20304
20305,Áncash,Antonio Raymondi,Mirgas,21605,20305
20306,Áncash,Antonio Raymondi,San Juan de Rontoy,21606,20306
20401,Áncash,Asunción,Chacas,21801,20401
20402,Áncash,Asunción,Acochaca,21802,20402
20501,Áncash,Bolognesi,Chiquian,20301,20501
20502,Áncash,Bolognesi,Abelardo Pardo Lezameta,20302,20502
20503,Áncash,Bolognesi,Antonio Raymondi,20321,20503
20504,Áncash,Bolognesi,Aquia,20304,20504
20505,Áncash,Bolognesi,Cajacay,20305,20505
20506,Áncash,Bolognesi,Canis,20322,20506
20507,Áncash,Bolognesi,Colquioc,20323,20507
20508,Áncash,Bolognesi,Huallanca,20325,20508
20509,Áncash,Bolognesi,Huasta,20311,20509
20510,Áncash,Bolognesi,Huayllacayan,20310,20510
20511,Áncash,Bolognesi,La Primavera,20324,20511
20512,Áncash,Bolognesi,Mangas,20313,20512
20513,Áncash,Bolognesi,Pacllon,20315,20513
20514,Áncash,Bolognesi,San Miguel de Corpanqui,20317,20514
20515,Áncash,Bolognesi,Ticllos,20320,20515
20601,Áncash,Carhuaz,Carhuaz,20401,20601
20602,Áncash,Carhuaz,Acopampa,20402,20602
20603,Áncash,Carhuaz,Amashca,20403,20603
20604,Áncash,Carhuaz,Anta,20404,20604
20605,Áncash,Carhuaz,Ataquero,20405,20605
20606,Áncash,Carhuaz,Marcara,20406,20606
20607,Áncash,Carhuaz,Pariahuanca,20407,20607
20608,Áncash,Carhuaz,San Miguel de Aco,20408,20608
20609,Áncash,Carhuaz,Shilla,20409,20609
20610,Áncash,Carhuaz,Tinco,20410,20610
20611,Áncash,Carhuaz,Yungar,20411,20611
20701,Áncash,Carlos Fermín Fitzcarrald,San Luis,21701,20701
20702,Áncash,Carlos Fermín Fitzcarrald,San Nicolás,21703,20702
20703,Áncash,Carlos Fermín Fitzcarrald,Yauya,21702,20703
20801,Áncash,Casma,Casma,20501,20801
20802,Áncash,Casma,Buena Vista Alta,20502,20802
20803,Áncash,Casma,Comandante Noel,20503,20803
20804,Áncash,Casma,Yautan,20505,20804
20901,Áncash,Corongo,Corongo,20601,20901
20902,Áncash,Corongo,Aco,20602,20902
20903,Áncash,Corongo,Bambas,20603,20903
20904,Áncash,Corongo,Cusca,20604,20904
20905,Áncash,Corongo,La Pampa,20605,20905
20906,Áncash,Corongo,Yanac,20606,20906
20907,Áncash,Corongo,Yupan,20607,20907
21001,Áncash,Huari,Huari,20801,21001
21002,Áncash,Huari,Anra,20816,21002
21003,Áncash,Huari,Cajay,20802,21003
21004,Áncash,Huari,Chavin de Huantar,20803,21004
21005,Áncash,Huari,Huacachi,20804,21005
21006,Áncash,Huari,Huacchis,20806,21006
21007,Áncash,Huari,Huachis,20805,21007
21008,Áncash,Huari,Huantar,20807,21008
21009,Áncash,Huari,Masin,20808,21009
21010,Áncash,Huari,Paucas,20809,21010
21011,Áncash,Huari,Ponto,20810,21011
21012,Áncash,Huari,Rahuapampa,20811,21012
21013,Áncash,Huari,Rapayan,20812,21013
21014,Áncash,Huari,San Marcos,20813,21014
21015,Áncash,Huari,San Pedro de Chana,20814,21015
21016,Áncash,Huari,Uco,20815,21016
21101,Áncash,Huarmey,Huarmey,21901,21101
21102,Áncash,Huarmey,Cochapeti,21902,21102
21103,Áncash,Huarmey,Culebras,21905,21103
21104,Áncash,Huarmey,Huayan,21903,21104
21105,Áncash,Huarmey,Malvas,21904,21105
21201,Áncash,Huaylas,Caraz,20701,21201
21202,Áncash,Huaylas,Huallanca,20702,21202
21203,Áncash,Huaylas,Huata,20703,21203
21204,Áncash,Huaylas,Huaylas,20704,21204
21205,Áncash,Huaylas,Mato,20705,21205
21206,Áncash,Huaylas,Pamparomas,20706,21206
21207,Áncash,Huaylas,Pueblo Libre,20707,21207
21208,Áncash,Huaylas,Santa Cruz,20708,21208
21209,Áncash,Huaylas,Santo Toribio,20710,21209
21210,Áncash,Huaylas,Yuracmarca,20709,21210
21301,Áncash,Mariscal Luzuriaga,Piscobamba,20901,21301
21302,Áncash,Mariscal Luzuriaga,Casca,20902,21302
21303,Áncash,Mariscal Luzuriaga,Eleazar Guzmán Barron,20908,21303
21304,Áncash,Mariscal Luzuriaga,Fidel Olivas Escudero,20904,21304
21305,Áncash,Mariscal Luzuriaga,Llama,20905,21305
21306,Áncash,Mariscal Luzuriaga,Llumpa,20906,21306
21307,Áncash,Mariscal Luzuriaga,Lucma,20903,21307
21308,Áncash,Mariscal Luzuriaga,Musga,20907,21308
21401,Áncash,Ocros,Ocros,22007,21401
21402,Áncash,Ocros,Acas,22001,21402
21403,Áncash,Ocros,Cajamarquilla,22002,21403
21404,Áncash,Ocros,Carhuapampa,22003,21404
21405,Áncash,Ocros,Cochas,22004,21405
21406,Áncash,Ocros,Congas,22005,21406
21407,Áncash,Ocros,Llipa,22006,21407
21408,Áncash,Ocros,San Cristóbal de Rajan,22008,21408
21409,Áncash,Ocros,San Pedro,22009,21409
21410,Áncash,Ocros,Santiago de Chilcas,22010,21410
21501,Áncash,Pallasca,Cabana,21001,21501
21502,Áncash,Pallasca,Bolognesi,21002,21502
21503,Áncash,Pallasca,Conchucos,21003,21503
21504,Áncash,Pallasca,Huacaschuque,21004,21504
21505,Áncash,Pallasca,Huandoval,21005,21505
21506,Áncash,Pallasca,Lacabamba,21006,21506
21507,Áncash,Pallasca,Llapo,21007,21507
21508,Áncash,Pallasca,Pallasca,21008,21508
21509,Áncash,Pallasca,Pampas,21009,21509
21510,Áncash,Pallasca,Santa Rosa,21010,21510
21511,Áncash,Pallasca,Tauca,21011,21511
21601,Áncash,Pomabamba,Pomabamba,21101,21601
21602,Áncash,Pomabamba,Huayllan,21102,21602
21603,Áncash,Pomabamba,Parobamba,21103,21603
21604,Áncash,Pomabamba,Quinuabamba,21104,21604
21701,Áncash,Recuay,Recuay,21201,21701
21702,Áncash,Recuay,Catac,21210,21702
21703,Áncash,Recuay,Cotaparaco,21202,21703
21704,Áncash,Recuay,Huayllapampa,21203,21704
21705,Áncash,Recuay,Llacllin,21209,21705
21706,Áncash,Recuay,Marca,21204,21706
21707,Áncash,Recuay,Pampas Chico,21205,21707
21708,Áncash,Recuay,Pararin,21206,21708
21709,Áncash,Recuay,Tapacocha,21207,21709
21710,Áncash,Recuay,Ticapampa,21208,21710
21801,Áncash,Santa,Chimbote,21301,21801
21802,Áncash,Santa,Cáceres del Perú,21302,21802
21803,Áncash,Santa,Coishco,21308,21803
21804,Áncash,Santa,Macate,21303,21804
21805,Áncash,Santa,Moro,21304,21805
21806,Áncash,Santa,Nepeña,21305,21806
21807,Áncash,Santa,Samanco,21306,21807
21808,Áncash,Santa,Santa,21307,21808
21809,Áncash,Santa,Nuevo Chimbote,21309,21809
21901,Áncash,Sihuas,Sihuas,21401,21901
21902,Áncash,Sihuas,Acobamba,21407,21902
21903,Áncash,Sihuas,Alfonso Ugarte,21402,21903
21904,Áncash,Sihuas,Cashapampa,21408,21904
21905,Áncash,Sihuas,Chingalpo,21403,21905
21906,Áncash,Sihuas,Huayllabamba,21404,21906
21907,Áncash,Sihuas,Quiches,21405,21907
21908,Áncash,Sihuas,Ragash,21409,21908
21909,Áncash,Sihuas,San Juan,21410,21909
21910,Áncash,Sihuas,Sicsibamba,21406,21910
22001,Áncash,Yungay,Yungay,21501,22001
22002,Áncash,Yungay,Cascapara,21502,22002
22003,Áncash,Yungay,Mancos,21503,22003
22004,Áncash,Yungay,Matacoto,21504,22004
22005,Áncash,Yungay,Quillo,21505,22005
22006,Áncash,Yungay,Ranrahirca,21506,22006
22007,Áncash,Yungay,Shupluy,21507,22007
22008,Áncash,Yungay,Yanama,21508,22008
30101,Apurímac,Abancay,Abancay,30101,30101
30102,Apurímac,Abancay,Chacoche,30104,30102
30103,Apurímac,Abancay,Circa,30102,30103
30104,Apurímac,Abancay,Curahuasi,30103,30104
30105,Apurímac,Abancay,Huanipaca,30105,30105
30106,Apurímac,Abancay,Lambrama,30106,30106
30107,Apurímac,Abancay,Pichirhua,30107,30107
30108,Apurímac,Abancay,San Pedro de Cachora,30108,30108
30109,Apurímac,Abancay,Tamburco,30109,30109
30201,Apurímac,Andahuaylas,Andahuaylas,30301,30201
30202,Apurímac,Andahuaylas,Andarapa,30302,30202
30203,Apurímac,Andahuaylas,Chiara,30303,30203
30204,Apurímac,Andahuaylas,Huancarama,30304,30204
30205,Apurímac,Andahuaylas,Huancaray,30305,30205
30206,Apurímac,Andahuaylas,Huayana,30317,30206
30207,Apurímac,Andahuaylas,Kishuara,30306,30207
30208,Apurímac,Andahuaylas,Pacobamba,30307,30208
30209,Apurímac,Andahuaylas,Pacucha,30313,30209
30210,Apurímac,Andahuaylas,Pampachiri,30308,30210
30211,Apurímac,Andahuaylas,Pomacocha,30314,30211
30212,Apurímac,Andahuaylas,San Antonio de Cachi,30309,30212
30213,Apurímac,Andahuaylas,San Jerónimo,30310,30213
30214,Apurímac,Andahuaylas,San Miguel de Chaccrampa,30318,30214
30215,Apurímac,Andahuaylas,Santa María de Chicmo,30315,30215
30216,Apurímac,Andahuaylas,Talavera,30311,30216
30217,Apurímac,Andahuaylas,Tumay Huaraca,30316,30217
30218,Apurímac,Andahuaylas,Turpo,30312,30218
30219,Apurímac,Andahuaylas,Kaquiabamba,30319,30219
30220,Apurímac,Andahuaylas,José María Arguedas,,
30301,Apurímac,Antabamba,Antabamba,30401,30301
30302,Apurímac,Antabamba,El Oro,30402,30302
30303,Apurímac,Antabamba,Huaquirca,30403,30303
30304,Apurímac,Antabamba,Juan Espinoza Medrano,30404,30304
30305,Apurímac,Antabamba,Oropesa,30405,30305
30306,Apurímac,Antabamba,Pachaconas,30406,30306
30307,Apurímac,Antabamba,Sabaino,30407,30307
30401,Apurímac,Aymaraes,Chalhuanca,30201,30401
30402,Apurímac,Aymaraes,Capaya,30202,30402
30403,Apurímac,Aymaraes,Caraybamba,30203,30403
30404,Apurímac,Aymaraes,Chapimarca,30206,30404
30405,Apurímac,Aymaraes,Colcabamba,30204,30405
30406,Apurímac,Aymaraes,Cotaruse,30205,30406
30407,Apurímac,Aymaraes,Ihuayllo,30207,30407
30408,Apurímac,Aymaraes,Justo Apu Sahuaraura,30217,30408
30409,Apurímac,Aymaraes,Lucre,30208,30409
30410,Apurímac,Aymaraes,Pocohuanca,30209,30410
30411,Apurímac,Aymaraes,San Juan de Chacña,30216,30411
30412,Apurímac,Aymaraes,Sañayca,30210,30412
30413,Apurímac,Aymaraes,Soraya,30211,30413
30414,Apurímac,Aymaraes,Tapairihua,30212,30414
30415,Apurímac,Aymaraes,Tintay,30213,30415
30416,Apurímac,Aymaraes,Toraya,30214,30416
30417,Apurímac,Aymaraes,Yanaca,30215,30417
30501,Apurímac,Cotabambas,Tambobamba,30501,30501
30502,Apurímac,Cotabambas,Cotabambas,30503,30502
30503,Apurímac,Cotabambas,Coyllurqui,30502,30503
30504,Apurímac,Cotabambas,Haquira,30504,30504
30505,Apurímac,Cotabambas,Mara,30505,30505
30506,Apurímac,Cotabambas,Challhuahuacho,30506,30506
30601,Apurímac,Chincheros,Chincheros,30701,30601
30602,Apurímac,Chincheros,Anco_Huallo,30705,30602
30603,Apurímac,Chincheros,Cocharcas,30704,30603
30604,Apurímac,Chincheros,Huaccana,30706,30604
30605,Apurímac,Chincheros,Ocobamba,30703,30605
30606,Apurímac,Chincheros,Ongoy,30702,30606
30607,Apurímac,Chincheros,Uranmarca,30707,30607
30608,Apurímac,Chincheros,Ranracancha,30708,30608
30609,Apurímac,Chincheros,Rocchacc,,
30610,Apurímac,Chincheros,El Porvenir,,
30611,Apurímac,Chincheros,Los Chankas,,
30701,Apurímac,Grau,Chuquibambilla,30601,30701
30702,Apurímac,Grau,Curpahuasi,30602,30702
30703,Apurímac,Grau,Gamarra,30605,30703
30704,Apurímac,Grau,Huayllati,30603,30704
30705,Apurímac,Grau,Mamara,30604,30705
30706,Apurímac,Grau,Micaela Bastidas,30606,30706
30707,Apurímac,Grau,Pataypampa,30608,30707
30708,Apurímac,Grau,Progreso,30607,30708
30709,Apurímac,Grau,San Antonio,30609,30709
30710,Apurímac,Grau,Santa Rosa,30613,30710
30711,Apurímac,Grau,Turpay,30610,30711
30712,Apurímac,Grau,Vilcabamba,30611,30712
30713,Apurímac,Grau,Virundo,30612,30713
30714,Apurímac,Grau,Curasco,30614,30714
40101,Arequipa,Arequipa,Arequipa,40101,40101
40102,Arequipa,Arequipa,Alto Selva Alegre,40128,40102
40103,Arequipa,Arequipa,Cayma,40102,40103
40104,Arequipa,Arequipa,Cerro Colorado,40103,40104
40105,Arequipa,Arequipa,Characato,40104,40105
40106,Arequipa,Arequipa,Chiguata,40105,40106
40107,Arequipa,Arequipa,Jacobo Hunter,40127,40107
40108,Arequipa,Arequipa,La Joya,40106,40108
40109,Arequipa,Arequipa,Mariano Melgar,40126,40109
40110,Arequipa,Arequipa,Miraflores,40107,40110
40111,Arequipa,Arequipa,Mollebaya,40108,40111
40112,Arequipa,Arequipa,Paucarpata,40109,40112
40113,Arequipa,Arequipa,Pocsi,40110,40113
40114,Arequipa,Arequipa,Polobaya,40111,40114
40115,Arequipa,Arequipa,Quequeña,40112,40115
40116,Arequipa,Arequipa,Sabandia,40113,40116
40117,Arequipa,Arequipa,Sachaca,40114,40117
40118,Arequipa,Arequipa,San Juan de Siguas,40115,40118
40119,Arequipa,Arequipa,San Juan de Tarucani,40116,40119
40120,Arequipa,Arequipa,Santa Isabel de Siguas,40117,40120
40121,Arequipa,Arequipa,Santa Rita de Siguas,40118,40121
40122,Arequipa,Arequipa,Socabaya,40119,40122
40123,Arequipa,Arequipa,Tiabaya,40120,40123
40124,Arequipa,Arequipa,Uchumayo,40121,40124
40125,Arequipa,Arequipa,Vitor,40122,40125
40126,Arequipa,Arequipa,Yanahuara,40123,40126
40127,Arequipa,Arequipa,Yarabamba,40124,40127
40128,Arequipa,Arequipa,Yura,40125,40128
40129,Arequipa,Arequipa,José Luis Bustamante Y Rivero,40129,40129
40201,Arequipa,Camaná,Camaná,40301,40201
40202,Arequipa,Camaná,José María Quimper,40302,40202
40203,Arequipa,Camaná,Mariano Nicolás Valcárcel,40303,40203
40204,Arequipa,Camaná,Mariscal Cáceres,40304,40204
40205,Arequipa,Camaná,Nicolás de Pierola,40305,40205
40206,Arequipa,Camaná,Ocoña,40306,40206
40207,Arequipa,Camaná,Quilca,40307,40207
40208,Arequipa,Camaná,Samuel Pastor,40308,40208
40301,Arequipa,Caravelí,Caravelí,40401,40301
40302,Arequipa,Caravelí,Acarí,40402,40302
40303,Arequipa,Caravelí,Atico,40403,40303
40304,Arequipa,Caravelí,Atiquipa,40404,40304
40305,Arequipa,Caravelí,Bella Unión,40405,40305
40306,Arequipa,Caravelí,Cahuacho,40406,40306
40307,Arequipa,Caravelí,Chala,40407,40307
40308,Arequipa,Caravelí,Chaparra,40408,40308
40309,Arequipa,Caravelí,Huanuhuanu,40409,40309
40310,Arequipa,Caravelí,Jaqui,40410,40310
40311,Arequipa,Caravelí,Lomas,40411,40311
40312,Arequipa,Caravelí,Quicacha,40412,40312
40313,Arequipa,Caravelí,Yauca,40413,40313
40401,Arequipa,Castilla,Aplao,40501,40401
40402,Arequipa,Castilla,Andagua,40502,40402
40403,Arequipa,Castilla,Ayo,40503,40403
40404,Arequipa,Castilla,Chachas,40504,40404
40405,Arequipa,Castilla,Chilcaymarca,40505,40405
40406,Arequipa,Castilla,Choco,40506,40406
40407,Arequipa,Castilla,Huancarqui,40507,40407
40408,Arequipa,Castilla,Machaguay,40508,40408
40409,Arequipa,Castilla,Orcopampa,40509,40409
40410,Arequipa,Castilla,Pampacolca,40510,40410
40411,Arequipa,Castilla,Tipan,40511,40411
40412,Arequipa,Castilla,Uñon,40513,40412
40413,Arequipa,Castilla,Uraca,40512,40413
40414,Arequipa,Castilla,Viraco,40514,40414
40501,Arequipa,Caylloma,Chivay,40201,40501
40502,Arequipa,Caylloma,Achoma,40202,40502
40503,Arequipa,Caylloma,Cabanaconde,40203,40503
40504,Arequipa,Caylloma,Callalli,40205,40504
40505,Arequipa,Caylloma,Caylloma,40204,40505
40506,Arequipa,Caylloma,Coporaque,40206,40506
40507,Arequipa,Caylloma,Huambo,40207,40507
40508,Arequipa,Caylloma,Huanca,40208,40508
40509,Arequipa,Caylloma,Ichupampa,40209,40509
40510,Arequipa,Caylloma,Lari,40210,40510
40511,Arequipa,Caylloma,Lluta,40211,40511
40512,Arequipa,Caylloma,Maca,40212,40512
40513,Arequipa,Caylloma,Madrigal,40213,40513
40514,Arequipa,Caylloma,San Antonio de Chuca,40214,40514
40515,Arequipa,Caylloma,Sibayo,40215,40515
40516,Arequipa,Caylloma,Tapay,40216,40516
40517,Arequipa,Caylloma,Tisco,40217,40517
40518,Arequipa,Caylloma,Tuti,40218,40518
40519,Arequipa,Caylloma,Yanque,40219,40519
40520,Arequipa,Caylloma,Majes,40220,40520
40601,Arequipa,Condesuyos,Chuquibamba,40601,40601
40602,Arequipa,Condesuyos,Andaray,40602,40602
40603,Arequipa,Condesuyos,Cayarani,40603,40603
40604,Arequipa,Condesuyos,Chichas,40604,40604
40605,Arequipa,Condesuyos,Iray,40605,40605
40606,Arequipa,Condesuyos,Río Grande,40608,40606
40607,Arequipa,Condesuyos,Salamanca,40606,40607
40608,Arequipa,Condesuyos,Yanaquihua,40607,40608
40701,Arequipa,Islay,Mollendo,40701,40701
40702,Arequipa,Islay,Cocachacra,40702,40702
40703,Arequipa,Islay,Dean Valdivia,40703,40703
40704,Arequipa,Islay,Islay,40704,40704
40705,Arequipa,Islay,Mejia,40705,40705
40706,Arequipa,Islay,Punta de Bombón,40706,40706
40801,Arequipa,La Uniòn,Cotahuasi,40801,40801
40802,Arequipa,La Uniòn,Alca,40802,40802
40803,Arequipa,La Uniòn,Charcana,40803,40803
40804,Arequipa,La Uniòn,Huaynacotas,40804,40804
40805,Arequipa,La Uniòn,Pampamarca,40805,40805
40806,Arequipa,La Uniòn,Puyca,40806,40806
40807,Arequipa,La Uniòn,Quechualla,40807,40807
40808,Arequipa,La Uniòn,Sayla,40808,40808
40809,Arequipa,La Uniòn,Tauria,40809,40809
40810,Arequipa,La Uniòn,Tomepampa,40810,40810
40811,Arequipa,La Uniòn,Toro,40811,40811
50101,Ayacucho,Huamanga,Ayacucho,50101,50101
50102,Ayacucho,Huamanga,Acocro,50111,50102
50103,Ayacucho,Huamanga,Acos Vinchos,50102,50103
50104,Ayacucho,Huamanga,Carmen Alto,50103,50104
50105,Ayacucho,Huamanga,Chiara,50104,50105
50106,Ayacucho,Huamanga,Ocros,50113,50106
50107,Ayacucho,Huamanga,Pacaycasa,50114,50107
50108,Ayacucho,Huamanga,Quinua,50105,50108
50109,Ayacucho,Huamanga,San José de Ticllas,50106,50109
50110,Ayacucho,Huamanga,San Juan Bautista,50107,50110
50111,Ayacucho,Huamanga,Santiago de Pischa,50108,50111
50112,Ayacucho,Huamanga,Socos,50112,50112
50113,Ayacucho,Huamanga,Tambillo,50110,50113
50114,Ayacucho,Huamanga,Vinchos,50109,50114
50115,Ayacucho,Huamanga,Jesús Nazareno,50115,50115
50116,Ayacucho,Huamanga,Andrés Avelino Cáceres Dorregaray,,
50201,Ayacucho,Cangallo,Cangallo,50201,50201
50202,Ayacucho,Cangallo,Chuschi,50204,50202
50203,Ayacucho,Cangallo,Los Morochucos,50206,50203
50204,Ayacucho,Cangallo,María Parado de Bellido,50211,50204
50205,Ayacucho,Cangallo,Paras,50207,50205
50206,Ayacucho,Cangallo,Totos,50208,50206
50301,Ayacucho,Huanca Sancos,Sancos,50801,50301
50302,Ayacucho,Huanca Sancos,Carapo,50804,50302
50303,Ayacucho,Huanca Sancos,Sacsamarca,50802,50303
50304,Ayacucho,Huanca Sancos,Santiago de Lucanamarca,50803,50304
50401,Ayacucho,Huanta,Huanta,50301,50401
50402,Ayacucho,Huanta,Ayahuanco,50302,50402
50403,Ayacucho,Huanta,Huamanguilla,50303,50403
50404,Ayacucho,Huanta,Iguain,50304,50404
50405,Ayacucho,Huanta,Luricocha,50305,50405
50406,Ayacucho,Huanta,Santillana,50307,50406
50407,Ayacucho,Huanta,Sivia,50308,50407
50408,Ayacucho,Huanta,Llochegua,50309,50408
50409,Ayacucho,Huanta,Canayre,,
50410,Ayacucho,Huanta,Uchuraccay,,
50411,Ayacucho,Huanta,Pucacolpa,,
50412,Ayacucho,Huanta,Chaca,,
50501,Ayacucho,La Mar,San Miguel,50401,50501
